ID;title;artist;genre;year;bpm;nrgy;dnce;val;dur;lyrics;popu
82;You And I;Lady Gaga;pop;2011;127;70;52;52;307;5;64
83;Judas;Lady Gaga;pop;2011;131;93;66;53;249;7;63
84;Tonight (I'm Fuckin' You);Enrique Iglesias;pop;2011;126;89;65;32;232;5;63
85;Please Don't Go;Mike Posner;pop;2011;120;88;70;66;197;3;63
86;We Found Love;Rihanna;pop;2011;128;77;73;60;215;4;61
87;Marry The Night;Lady Gaga;pop;2011;131;88;61;38;265;6;61
88;1+1;Beyonce;pop;2011;63;38;30;26;274;3;60
89;Hold It Against Me;Britney Spears;pop;2011;133;72;65;39;229;4;59
90;I'm Into You;Jennifer Lopez;pop;2011;84;75;59;70;200;14;59
91;Papi;Jennifer Lopez;pop;2011;120;81;71;89;223;6;58
92;Cheers (Drink To That);Rihanna;pop;2011;80;91;58;73;262;4;58
93;S&M Remix;Rihanna;pop;2011;128;81;82;89;257;5;54
94;Written in the Stars (feat. Eric Turner);Tinie Tempah;pop;2011;91;95;64;57;220;7;52
95;Jar of Hearts;Christina Perri;pop;2011;75;35;35;9;247;3;50
96;Castle Walls (feat. Christina Aguilera);T.I.;no pop;2011;80;86;45;58;329;39;49
97;Turning Page;Sleeping At Last;pop;2011;125;38;30;19;255;3;46
98;Super Bass;Nicki Minaj;pop;2011;127;74;77;59;201;23;38
99;Raise Your Glass;P!nk;pop;2011;122;64;68;56;208;12;38
100;Invading My Mind;Jennifer Lopez;pop;2011;129;88;73;69;201;7;31
101;Moment 4 Life - Album Version (Edited);Nicki Minaj;pop;2011;130;88;50;37;279;38;28
102;Last Friday Night (T.G.I.F.);Katy Perry;pop;2011;126;81;65;72;231;4;27
103;Firework;Katy Perry;pop;2011;124;83;64;65;228;5;25
104;Muny - Album Version (Edited);Nicki Minaj;pop;2011;98;72;80;53;227;33;7
105;Titanium (feat. Sia);David Guetta;pop;2012;126;79;60;30;245;10;80
106;Locked Out of Heaven;Bruno Mars;pop;2012;144;70;73;87;233;4;79
107;Paradise;Coldplay;no pop;2012;140;59;45;20;279;3;79
108;Payphone;Maroon 5;pop;2012;110;75;74;55;231;4;79
109;What Makes You Beautiful;One Direction;no pop;2012;125;79;73;89;200;7;78
110;I Knew You Were Trouble.;Taylor Swift;pop;2012;77;47;62;68;220;4;77
111;Call Me Maybe;Carly Rae Jepsen;pop;2012;120;58;78;66;193;4;76
112;Love You Like A Love Song;Selena Gomez & The Scene;pop;2012;117;68;86;92;188;5;76
113;Set Fire to the Rain;Adele;no pop;2012;108;68;61;47;242;3;76
114;We Are Never Ever Getting Back Together;Taylor Swift;pop;2012;86;68;63;75;193;9;75
115;Stronger (What Doesn't Kill You);Kelly Clarkson;pop;2012;116;94;56;68;222;5;74
116;Try;P!nk;pop;2012;104;63;67;55;248;3;74
117;Starships;Nicki Minaj;pop;2012;125;72;75;75;211;8;73
118;One More Night;Maroon 5;pop;2012;93;82;72;62;220;3;73
119;Good Time;Owl City;pop;2012;126;87;56;68;206;14;73
120;Glad You Came;The Wanted;no pop;2012;127;85;72;45;198;6;72
121;Beauty And A Beat;Justin Bieber;pop;2012;128;84;60;53;228;6;72
122;International Love;Pitbull;pop;2012;120;86;67;65;227;5;72
123;Some Nights;fun.;pop;2012;108;74;67;39;277;5;72
124;Boyfriend;Justin Bieber;pop;2012;97;55;72;33;171;5;71
125;Part Of Me;Katy Perry;pop;2012;130;92;68;77;216;4;71
126;Domino;Jessie J;pop;2012;127;55;76;78;232;3;69
127;Where Have You Been;Rihanna;pop;2012;128;85;72;44;243;9;68
128;Wide Awake;Katy Perry;pop;2012;160;68;51;57;221;4;68
129;The One That Got Away;Katy Perry;pop;2012;134;80;69;88;227;4;67
130;Dance Again;Jennifer Lopez;pop;2012;128;86;79;71;237;7;66
131;Turn Up the Music;Chris Brown;pop;2012;130;84;59;64;228;10;65
132;Lights - Single Version;Ellie Goulding;pop;2012;120;80;68;78;211;4;65
133;We Are Young (feat. Janelle Monae);fun.;pop;2012;184;64;38;74;251;8;63
134;Diamonds;Rihanna;pop;2012;92;71;56;39;225;5;61
135;Don't Stop the Party (feat. TJR);Pitbull;pop;2012;127;96;72;95;206;9;59
136;You Da One;Rihanna;pop;2012;127;72;70;86;200;4;57
137;Stereo Hearts (feat. Adam Levine);Gym Class Heroes;pop;2012;90;80;65;80;211;10;54
138;It Will Rain;Bruno Mars;pop;2012;150;84;58;48;258;5;38
